epoch,accuracy,loss,val_accuracy,val_loss
0,0.7279999852180481,0.7901666164398193,0.8924999833106995,0.2734759449958801
1,0.843999981880188,0.4063109755516052,0.7862499952316284,0.49840739369392395
2,0.8730000257492065,0.3260732591152191,0.8512499928474426,0.3639756143093109
3,0.9070000052452087,0.24680358171463013,0.8399999737739563,0.42394715547561646
4,0.9089999794960022,0.22166167199611664,0.8650000095367432,0.389801949262619
5,0.9269999861717224,0.18256868422031403,0.9087499976158142,0.29539090394973755
6,0.9350000023841858,0.16519911587238312,0.9024999737739563,0.2852136492729187
7,0.9369999766349792,0.15364117920398712,0.8700000047683716,0.3900676667690277
8,0.9559999704360962,0.10443191230297089,0.8887500166893005,0.3833851218223572
9,0.9679999947547913,0.10401590168476105,0.8924999833106995,0.3802125155925751
